Pincode,State Code,District,Prepaid,Reverse Pickup,REPL,COD,Cash
785101,AS,Jorhat,Y,Y,Y,Y,Y
584101,KA,Raichur,Y,Y,Y,Y,Y
515003,AP,Ananthapur,Y,Y,Y,Y,Y
244301,UP,Moradabad,Y,Y,Y,Y,Y
175006,HP,Mandi,Y,Y,Y,Y,Y
581341,KA,Uttara Kannada,Y,Y,Y,Y,Y
679106,KL,Thrissur,Y,Y,Y,Y,Y
781352,AS,Barpeta,Y,Y,Y,Y,Y
342011,RJ,Jodhpur,Y,Y,Y,Y,Y
680608,KL,Thrissur,Y,Y,Y,Y,Y
673637,KL,Malappuram,Y,Y,Y,Y,Y
363427,GJ,Surendra Nagar,Y,Y,N,Y,Y
600131,TN,Chennai,Y,Y,Y,Y,Y
625515,TN,Theni,Y,Y,Y,Y,Y
643221,TN,Nilgiris,Y,Y,Y,Y,Y
621216,TN,Tiruchirappalli,Y,Y,Y,Y,Y
627807,TN,Tenkasi,Y,Y,Y,Y,Y
623708,TN,Ramanathapuram,Y,Y,Y,Y,Y
637105,TN,Salem,Y,Y,Y,Y,Y
627252,TN,TIRUNELVELLI,Y,Y,Y,Y,Y
524402,AP,Nellore,Y,Y,N,Y,N
585328,KA,Bidar,Y,Y,N,Y,N
144402,PB,Kapurthala,Y,Y,Y,Y,Y
752090,OR,Nayagarh,Y,Y,Y,Y,Y
127041,HR,Bhiwani,Y,Y,N,Y,N
387370,GJ,Kheda,Y,Y,Y,Y,Y
523369,AP,Prakasam,Y,Y,N,Y,N
392020,GJ,Bharuch,Y,Y,Y,Y,Y
383210,GJ,Sabarkantha,Y,Y,Y,Y,Y
712204,WB,Hooghly,Y,Y,Y,Y,Y
678623,KL,Palakkad,Y,Y,Y,Y,Y
507111,TS,Khammam,Y,Y,Y,Y,Y
805109,BR,Nawada,Y,Y,Y,Y,Y
841211,BR,Saran,Y,Y,Y,Y,Y
148006,PB,Sangrur,Y,Y,Y,Y,Y
131302,HR,Sonipat,Y,Y,N,Y,N
431107,MH,Aurangabad,Y,Y,Y,Y,Y
721161,WB,West Midnapore,Y,Y,Y,Y,Y
396107,GJ,Vapi,Y,Y,Y,Y,Y
755019,OR,Kendujhar,Y,Y,N,Y,N
306421,RJ,Pali,Y,Y,Y,Y,Y
500085,TS,Hyderabad,Y,Y,Y,Y,Y
362030,GJ,Junagadh,Y,Y,N,Y,N
142055,PB,Moga,Y,Y,N,Y,N
700093,WB,South 24 Parganas,Y,Y,Y,Y,Y
360034,GJ,Rajkot,Y,Y,Y,Y,Y
477441,MP,Bhind,Y,Y,Y,Y,Y
473554,MP,Shivpuri,Y,Y,Y,Y,Y
761212,OR,Gajapati,Y,Y,Y,Y,Y
515870,AP,Ananthapur,Y,Y,Y,Y,Y
676307,KL,Malappuram,Y,Y,Y,Y,Y
411000,MH,Pune,Y,Y,Y,Y,Y
613103,TN,Thanjavur,Y,Y,Y,Y,Y
606204,TN,Villupuram,Y,Y,Y,Y,Y
764044,OR,Malkangiri,Y,Y,N,Y,N
695521,KL,Thiruvananthapuram,Y,Y,Y,Y,Y
721137,WB,East Midnapore,Y,Y,N,Y,N
628752,TN,Tuticorin,Y,Y,Y,Y,Y
502228,TS,Medak,Y,Y,Y,Y,Y
769014,OR,Sundergarh,Y,Y,Y,Y,Y
387345,GJ,Kheda,Y,Y,Y,Y,Y
124001,HR,Rohtak,Y,Y,Y,Y,Y
415610,MH,Ratnagiri,Y,Y,N,Y,N
580112,KA,Dharward,Y,Y,Y,Y,Y
506222,TS,Warangal,Y,Y,N,Y,N
844114,BR,Vaishali,Y,Y,Y,Y,Y
713515,WB,Bardhaman,Y,Y,Y,Y,Y
700040,WB,Kolkata,Y,Y,Y,Y,Y
755036,OR,Jajapur,Y,Y,Y,Y,Y
756128,OR,Bhadrak,Y,Y,Y,Y,Y
721645,WB,East Midnapore,Y,Y,Y,Y,Y
522503,AP,Guntur,Y,Y,Y,Y,Y
261001,UP,Sitapur,Y,Y,Y,Y,Y
388545,GJ,Anand,Y,Y,Y,Y,Y
141015,PB,Ludhiana,Y,Y,Y,Y,Y
431214,MH,Jalna,Y,Y,Y,Y,Y
246762,UP,Bijnor,Y,Y,N,Y,N
383350,GJ,Sabarkantha,Y,Y,Y,Y,Y
533226,AP,Guntur,Y,Y,Y,Y,Y
144216,PB,Hoshiarpur,Y,Y,Y,Y,Y
689501,KL,Pathanamthitta,Y,Y,Y,Y,Y
250606,UP,Bagpat,Y,Y,Y,Y,Y
788117,AS,Hailakandi,Y,Y,Y,Y,Y
123414,HR,Gurgaon,Y,Y,Y,Y,Y
562128,KA,Ramanagar,Y,Y,Y,Y,Y
458228,MP,Neemuch,Y,Y,N,Y,N
151005,PB,Bathinda,Y,Y,Y,Y,Y
416608,MH,Sindhudurg,Y,Y,Y,Y,Y
723152,WB,Puruliya,Y,Y,N,Y,N
782460,AS,Nagaon,Y,Y,Y,Y,Y
758038,OR,Kendujhar,Y,Y,Y,Y,Y
828115,JH,Dhanbad,Y,Y,Y,Y,Y
224209,UP,Faizabad,Y,Y,Y,Y,Y
590005,KA,Belgaum,Y,Y,Y,Y,Y
131023,HR,Sonipat,Y,Y,Y,Y,Y
586117,KA,Bijapur,Y,Y,Y,Y,Y
577222,KA,Shimoga,Y,Y,Y,Y,Y
522612,AP,Guntur,Y,Y,Y,Y,Y
680052,KL,Thrissur,Y,Y,Y,Y,Y
670101,KL,Kannur,Y,Y,Y,Y,Y
643253,TN,Nilgiris,Y,Y,Y,Y,Y
689624,KL,Alappuzha,Y,Y,Y,Y,Y
671533,KL,Kasargod,Y,Y,N,Y,N
411032,MH,Pune,Y,Y,Y,Y,Y
507304,TS,Khammam,Y,Y,Y,Y,Y
762110,OR,Kandhamal,Y,Y,Y,Y,Y
628201,TN,Tuticorin,Y,Y,Y,Y,Y
110096,DL,East Delhi,Y,Y,Y,Y,Y
605801,TN,Villupuram,Y,Y,Y,Y,Y
629252,TN,Kanyakumari,Y,Y,Y,Y,Y
638211,TN,Erode,Y,Y,Y,Y,Y
637405,TN,Namakkal,Y,Y,Y,Y,Y
600049,TN,Tiruvallur,Y,Y,Y,Y,Y
623516,TN,Ramanathapuram,Y,Y,Y,Y,Y
623705,TN,Sivaganga,Y,Y,Y,Y,Y
441214,MH,Nagpur,Y,Y,Y,Y,Y
695033,KL,Trivandrum,Y,Y,Y,Y,Y
123003,HR,Gurgaon,Y,Y,Y,Y,Y
689108,KL,Pathanamthitta,Y,Y,Y,Y,Y
688521,KL,Alappuzha,Y,Y,Y,Y,Y
712613,WB,Hooghly,Y,Y,Y,Y,Y
221303,UP,Sant Ravidas Nagar,Y,Y,Y,Y,Y
174503,HP,Una,Y,Y,Y,Y,Y
534315,AP,West Godavari,Y,Y,N,Y,N
136027,HR,Kaithal,Y,Y,Y,Y,Y
575023,KA,Dakshina Kannada,Y,Y,Y,Y,Y
443402,MH,Buldhana,Y,Y,N,Y,N
713432,WB,Bardhaman,Y,Y,Y,Y,Y
833220,JH,SERAIKELA-KHARSAWAN,Y,Y,Y,Y,Y
431007,MH,Aurangabad,Y,Y,Y,Y,Y
518112,AP,Kurnool,Y,Y,Y,Y,Y
518134,AP,Kurnool,Y,Y,Y,Y,Y
202135,UP,Aligarh,Y,Y,Y,Y,Y
385505,GJ,Banaskantha,Y,Y,Y,Y,Y
384241,GJ,Patan,Y,Y,N,Y,N
380007,GJ,Ahmedabad,Y,Y,Y,Y,Y
184141,JK,Kathua,Y,Y,Y,Y,Y
384175,GJ,Mahesana,Y,Y,Y,Y,Y
226018,UP,Lucknow,Y,Y,Y,Y,Y
484446,MP,Anuppur,Y,Y,Y,Y,Y
486889,MP,Sidhi,Y,Y,N,Y,N
209505,UP,Farrukhabad,Y,Y,Y,Y,Y
731125,WB,Birbhum,Y,Y,Y,Y,Y
736158,WB,Cooch Behar,Y,Y,N,Y,N
757029,OR,Mayurbhanj,Y,Y,N,Y,N
721170,WB,West Midnapore,Y,Y,N,Y,N
761211,OR,Gajapati,Y,Y,Y,Y,Y
142047,PB,Firozpur,Y,Y,Y,Y,Y
486008,MP,Rewa,Y,Y,Y,Y,Y
689590,KL,Alappuzha,Y,Y,N,Y,N
712419,WB,Hooghly,Y,Y,Y,Y,Y
754228,OR,Kendrapara,Y,Y,Y,Y,Y
612106,TN,Mayiladuthurai,Y,Y,Y,Y,Y
643239,TN,Nilgiris,Y,Y,Y,Y,Y
638051,TN,Erode,Y,Y,N,Y,N
416421,MH,Sangli,Y,Y,Y,Y,Y
680568,KL,THRISSUR,Y,Y,Y,Y,Y
490042,CG,Durg,Y,Y,Y,Y,Y
382750,GJ,Surendra Nagar,Y,Y,N,Y,N
630318,TN,Sivaganga,Y,Y,Y,Y,Y
631303,TN,Tiruvallur,Y,Y,Y,Y,Y
607401,TN,Cuddalore,Y,Y,Y,Y,Y
623115,TN,Ramanathapuram,Y,Y,Y,Y,Y
602107,TN,Tiruvallur,Y,Y,Y,Y,Y
444711,MH,Amravati,Y,Y,N,Y,N
712417,WB,Hooghly,Y,Y,Y,Y,Y
712311,WB,Hooghly,Y,Y,Y,Y,Y
148026,PB,Sangrur,Y,Y,Y,Y,Y
174304,HP,Hamirpur(Hp),Y,Y,Y,Y,Y
176125,HP,Kangra,Y,Y,N,Y,N
713212,WB,Bardhaman,Y,Y,Y,Y,Y
